,season_id,game_id,game_date,team_id,team_abbreviation,matchup,wl_x,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,date,season,team,elo1_pre,elo2_pre,elo1_post,elo2_post,raptor1_pre,raptor2_pre,score1,score2,quality,wl_y
178,22021,22100745,2022-01-29,1610612738,BOS,BOS @ NOP,1,43.0,81.0,0.531,14.0,41.0,0.341,7.0,11.0,0.636,6.0,37.0,43.0,31.0,6.0,7.0,15.0,19.0,107,10,2022-01-29,2022,BOS,1548.20025762678,1462.26777365805,1559.12062338501,1451.34740789982,1605.06956444247,1409.61109740101,107.0,97.0,51,1.0
375,22021,22100762,2022-01-31,1610612738,BOS,BOS @ MIA,1,44.0,84.0,0.524,16.0,42.0,0.381,18.0,27.0,0.667,9.0,35.0,44.0,24.0,9.0,6.0,10.0,15.0,122,30,2022-01-31,2022,BOS,1559.12062338501,1599.95600842907,1576.47636321348,1582.6002686006,1611.99774544526,1501.61966027132,122.0,92.0,72,1.0
376,22021,22100775,2022-02-02,1610612738,BOS,BOS @ CHA,1,42.0,82.0,0.512,14.0,36.0,0.389,15.0,17.0,0.882,6.0,36.0,42.0,31.0,9.0,5.0,19.0,21.0,113,6,2022-02-02,2022,BOS,1576.47636321348,1509.40478566518,1580.24880662604,1505.63234225262,1620.23800269604,1490.69545217359,113.0,107.0,71,1.0
179,22021,22100788,2022-02-04,1610612738,BOS,BOS @ DET,1,37.0,82.0,0.451,9.0,28.0,0.321,19.0,25.0,0.76,11.0,44.0,55.0,23.0,4.0,9.0,14.0,17.0,102,9,2022-02-04,2022,BOS,1580.24880662604,1329.23905829308,1585.37976575932,1324.1080991598,1622.13571321748,1325.58136157291,102.0,93.0,34,1.0
180,22021,22100806,2022-02-06,1610612738,BOS,BOS @ ORL,1,45.0,99.0,0.455,13.0,46.0,0.283,13.0,14.0,0.929,16.0,39.0,55.0,29.0,9.0,6.0,16.0,17.0,116,33,2022-02-06,2022,BOS,1585.37976575932,1320.21184789713,1596.922067348,1308.66954630845,1624.91291896823,1331.87909199963,116.0,83.0,36,1.0
181,22021,22100817,2022-02-08,1610612738,BOS,BOS @ BKN,1,50.0,91.0,0.549,14.0,40.0,0.35,12.0,16.0,0.75,11.0,41.0,52.0,32.0,6.0,8.0,14.0,14.0,126,35,2022-02-08,2022,BOS,1596.922067348,1488.72567930578,1620.66644919672,1464.98129745706,1632.08469861411,1301.59413927906,126.0,91.0,30,1.0
377,22021,22100842,2022-02-11,1610612738,BOS,BOS @ DEN,1,38.0,96.0,0.396,10.0,37.0,0.27,22.0,30.0,0.733,18.0,36.0,54.0,24.0,13.0,8.0,12.0,20.0,108,6,2022-02-11,2022,BOS,1620.66644919672,1579.10346072207,1624.92921619587,1574.84069372292,1677.06062297358,1555.63654314648,108.0,102.0,88,1.0
378,22021,22100856,2022-02-13,1610612738,BOS,BOS @ ATL,1,36.0,85.0,0.424,11.0,38.0,0.289,22.0,27.0,0.815,12.0,42.0,54.0,21.0,5.0,6.0,12.0,15.0,105,10,2022-02-13,2022,BOS,1624.92921619587,1501.83570412159,1628.74799713303,1498.01692318443,1697.02824369281,1576.04528619221,105.0,95.0,92,1.0
182,22021,22100869,2022-02-15,1610612738,BOS,BOS @ PHI,1,46.0,82.0,0.561,25.0,45.0,0.556,18.0,22.0,0.818,7.0,44.0,51.0,28.0,2.0,10.0,11.0,25.0,135,48,2022-02-15,2022,BOS,1628.74799713303,1605.53840410517,1668.92660525567,1565.35979598253,1670.23508012665,1612.63329453659,135.0,87.0,93,1.0
379,22021,22100875,2022-02-16,1610612738,BOS,BOS @ DET,0,42.0,77.0,0.545,13.0,32.0,0.406,14.0,18.0,0.778,2.0,28.0,30.0,29.0,8.0,6.0,17.0,14.0,111,-1,2022-02-16,2022,BOS,1668.92660525567,1292.1790468497,1656.64808019153,1304.45757191384,1670.30602076395,1299.53120702663,111.0,112.0,35,0.0
183,22021,22100890,2022-02-24,1610612738,BOS,BOS @ BKN,1,46.0,85.0,0.541,17.0,42.0,0.405,20.0,27.0,0.741,8.0,40.0,48.0,28.0,9.0,3.0,14.0,20.0,129,23,2022-02-24,2022,BOS,1656.64808019153,1455.75895000781,1668.64411544691,1443.76291475243,1705.54327506053,1406.49908122679,129.0,106.0,68,1.0
184,22021,22100905,2022-02-26,1610612738,BOS,BOS @ DET,1,42.0,88.0,0.477,10.0,26.0,0.385,19.0,21.0,0.905,10.0,27.0,37.0,31.0,5.0,6.0,10.0,21.0,113,9,2022-02-26,2022,BOS,1668.64411544691,1313.9849209477,1671.67750600775,1310.95153038686,1712.88403226121,1310.36020781213,113.0,104.0,44,1.0
185,22021,22100914,2022-02-27,1610612738,BOS,BOS @ IND,0,39.0,91.0,0.429,12.0,43.0,0.279,17.0,20.0,0.85,12.0,28.0,40.0,25.0,5.0,9.0,10.0,13.0,107,-21,2022-02-27,2022,BOS,1671.67750600775,1391.3292988414,1642.42563515041,1420.58116969874,1708.07188446722,1417.51725569721,107.0,128.0,70,0.0
380,22021,22100927,2022-03-01,1610612738,BOS,BOS @ ATL,1,39.0,83.0,0.47,11.0,35.0,0.314,18.0,19.0,0.947,11.0,36.0,47.0,27.0,4.0,8.0,14.0,20.0,107,9,2022-03-01,2022,BOS,1642.42563515041,1531.20521200064,1646.23367735557,1527.39716979548,1695.5150067372,1583.93783037053,107.0,98.0,93,1.0
381,22021,22100940,2022-03-03,1610612738,BOS,BOS @ MEM,1,46.0,89.0,0.517,16.0,37.0,0.432,12.0,15.0,0.8,15.0,36.0,51.0,33.0,4.0,7.0,14.0,15.0,120,13,2022-03-03,2022,BOS,1646.23367735557,1644.58698699537,1654.3413492004,1636.47931515054,1664.74003197528,1626.72626320291,120.0,107.0,94,1.0
382,22021,22100960,2022-03-06,1610612738,BOS,BOS @ BKN,1,40.0,83.0,0.482,17.0,36.0,0.472,29.0,38.0,0.763,10.0,27.0,37.0,25.0,9.0,7.0,10.0,19.0,126,6,2022-03-06,2022,BOS,1654.3413492004,1421.36758127672,1655.90726848979,1419.80166198733,1680.95539651924,1545.71807657358,126.0,120.0,88,1.0
186,22021,22100981,2022-03-09,1610612738,BOS,BOS @ CHA,1,46.0,93.0,0.495,12.0,37.0,0.324,11.0,14.0,0.786,16.0,31.0,47.0,30.0,10.0,8.0,11.0,20.0,115,14,2022-03-09,2022,BOS,1655.90726848979,1479.95056692216,1665.42285853456,1470.43497687739,1696.2780003359,1505.79162647701,115.0,101.0,84,1.0
383,22021,22100997,2022-03-11,1610612738,BOS,BOS @ DET,1,42.0,90.0,0.467,6.0,32.0,0.188,24.0,30.0,0.8,13.0,34.0,47.0,23.0,10.0,3.0,9.0,19.0,114,11,2022-03-11,2022,BOS,1665.42285853456,1337.38944441163,1666.70941335842,1336.10288958777,1704.36307207416,1312.96478437885,114.0,103.0,44,1.0
384,22021,22101014,2022-03-13,1610612738,BOS,BOS @ DAL,0,33.0,88.0,0.375,9.0,37.0,0.243,17.0,19.0,0.895,11.0,34.0,45.0,16.0,8.0,3.0,11.0,12.0,92,-3,2022-03-13,2022,BOS,1666.70941335842,1595.17867365512,1657.26735023628,1604.62073677726,1701.18152902305,1598.74111615717,92.0,95.0,94,0.0
187,22021,22101042,2022-03-16,1610612738,BOS,BOS @ GSW,1,38.0,81.0,0.469,15.0,40.0,0.375,19.0,22.0,0.864,8.0,45.0,53.0,23.0,4.0,4.0,10.0,15.0,110,22,2022-03-16,2022,BOS,1657.26735023628,1622.29053128962,1679.15545283815,1600.40242868775,1695.50441031593,1583.17412236412,110.0,88.0,93,1.0
188,22021,22101057,2022-03-18,1610612738,BOS,BOS @ SAC,1,46.0,82.0,0.561,22.0,40.0,0.55,12.0,17.0,0.706,6.0,37.0,43.0,33.0,11.0,1.0,13.0,23.0,126,29,2022-03-18,2022,BOS,1679.15545283815,1371.18198140656,1687.64121137423,1362.69622287048,1706.42035018599,1437.23167903025,126.0,97.0,74,1.0
189,22021,22101068,2022-03-20,1610612738,BOS,BOS @ DEN,1,47.0,82.0,0.573,19.0,40.0,0.475,11.0,11.0,1.0,5.0,33.0,38.0,29.0,4.0,6.0,9.0,18.0,124,20,2022-03-20,2022,BOS,1687.64121137423,1585.07341886737,1703.86708825755,1568.84754198405,1713.44291620698,1580.17294268923,124.0,104.0,93,1.0
190,22021,22101078,2022-03-21,1610612738,BOS,BOS @ OKC,1,44.0,86.0,0.512,15.0,40.0,0.375,29.0,34.0,0.853,6.0,36.0,42.0,22.0,8.0,7.0,9.0,18.0,132,9,2022-03-21,2022,BOS,1703.86708825755,1302.03748433116,1706.21353849911,1299.6910340896,1655.094759546,1140.33660252941,132.0,123.0,5,1.0
385,22021,22101087,2022-03-23,1610612738,BOS,BOS @ UTA,1,50.0,84.0,0.595,19.0,36.0,0.528,6.0,7.0,0.857,8.0,31.0,39.0,37.0,8.0,10.0,13.0,20.0,125,28,2022-03-23,2022,BOS,1706.21353849911,1610.6914564851,1715.02587513685,1601.87911984736,1710.6758142736,1655.59980173584,125.0,97.0,97,1.0
386,22021,22101116,2022-03-27,1610612738,BOS,BOS @ MIN,1,49.0,87.0,0.563,17.0,39.0,0.436,19.0,21.0,0.905,10.0,35.0,45.0,27.0,7.0,5.0,13.0,20.0,134,22,2022-03-27,2022,BOS,1715.02587513685,1608.49615613719,1722.04240508826,1601.47962618578,1676.2270895712,1611.48648351357,134.0,112.0,93,1.0
191,22021,22101127,2022-03-28,1610612738,BOS,BOS @ TOR,0,39.0,95.0,0.411,12.0,40.0,0.3,22.0,28.0,0.786,16.0,41.0,57.0,23.0,5.0,7.0,17.0,15.0,112,-3,2022-03-28,2022,BOS,1722.04240508826,1587.69166103801,1715.72729839359,1594.00676773268,1464.70456701701,1574.82600747464,112.0,115.0,58,0.0
387,22021,22101139,2022-03-30,1610612738,BOS,BOS @ MIA,0,35.0,85.0,0.412,11.0,37.0,0.297,17.0,23.0,0.739,8.0,36.0,44.0,27.0,9.0,1.0,18.0,22.0,98,-8,2022-03-30,2022,BOS,1715.72729839359,1562.7166539141,1697.26366812191,1581.18028418578,1613.27561292509,1610.18282302901,98.0,106.0,88,0.0
388,22021,22101153,2022-04-01,1610612738,BOS,BOS @ IND,1,45.0,83.0,0.542,12.0,33.0,0.364,26.0,28.0,0.929,11.0,29.0,40.0,29.0,7.0,4.0,16.0,19.0,128,5,2022-04-01,2022,BOS,1697.26366812191,1384.82742497667,1698.16494590475,1383.92614719383,1668.84002975314,1357.90045804155,128.0,123.0,49,1.0
389,22021,22101166,2022-04-03,1610612738,BOS,BOS @ WAS,1,56.0,91.0,0.615,23.0,44.0,0.523,9.0,13.0,0.692,7.0,32.0,39.0,39.0,6.0,5.0,8.0,20.0,144,42,2022-04-03,2022,BOS,1698.16494590475,1421.36955284466,1702.58195984455,1416.95253890486,1688.42118100853,1400.14647946411,144.0,102.0,63,1.0
192,22021,22101193,2022-04-06,1610612738,BOS,BOS @ CHI,1,43.0,88.0,0.489,17.0,37.0,0.459,14.0,22.0,0.636,8.0,34.0,42.0,29.0,11.0,6.0,13.0,18.0,117,23,2022-04-06,2022,BOS,1702.58195984455,1475.91794571238,1713.25838678718,1465.24151876975,1673.89739194047,1467.66033691977,117.0,94.0,75,1.0
193,22021,22101198,2022-04-07,1610612738,BOS,BOS @ MIL,0,43.0,87.0,0.494,21.0,50.0,0.42,14.0,19.0,0.737,8.0,36.0,44.0,30.0,8.0,4.0,16.0,15.0,121,-6,2022-04-07,2022,BOS,1713.25838678718,1570.22009364374,1704.26292348436,1579.21555694656,1568.87559860851,1635.34910985317,121.0,127.0,86,0.0
194,22021,22101223,2022-04-10,1610612738,BOS,BOS @ MEM,1,54.0,99.0,0.545,18.0,48.0,0.375,13.0,13.0,1.0,14.0,42.0,56.0,34.0,5.0,2.0,15.0,20.0,139,29,2022-04-10,2022,BOS,1704.26292348436,1664.01797344406,1730.48302474884,1637.79787217958,1622.43320699354,1437.70069359526,139.0,110.0,61,1.0
